coefficient,t_stat,p_value,n_weeks,significant,model,horizon,avg_r2,n_weeks_skipped
0.0025019851255450023,4.0075816150686965,8.23813395411932e-05,236,True,A_attention_momentum,future_1w_excess_return,0.1828460772848984,1
0.0032059989095004696,3.820243395995366,0.00017085875180544718,235,True,A_attention_momentum,future_2w_excess_return,0.17784239116331718,2
0.004876576584471928,3.656336111696426,0.0003165312035258161,233,True,A_attention_momentum,future_4w_excess_return,0.17997063637035457,4
0.002471684648814422,3.92206482709294,0.000115266963916838,236,True,B_plus_total_inst_flow,future_1w_excess_return,0.20573244409578528,1
0.003004708192220722,3.4977278595446695,0.0005614395387942839,235,True,B_plus_total_inst_flow,future_2w_excess_return,0.1980485847199016,2
0.004578605749905012,3.379108986387528,0.00085292282164251,233,True,B_plus_total_inst_flow,future_4w_excess_return,0.20022818395361233,4
0.00268987165097007,4.250433370185544,3.078645294718463e-05,236,True,C_plus_foreign_trust_dealer,future_1w_excess_return,0.2527874349058365,1
0.003182212706722885,3.681918648938694,0.00028746182319960845,235,True,C_plus_foreign_trust_dealer,future_2w_excess_return,0.24378200294799676,2
0.004999747800559496,3.667141211631188,0.0003041611555565371,233,True,C_plus_foreign_trust_dealer,future_4w_excess_return,0.24110326180949093,4
0.0026759932278008656,4.445976438708208,1.3495272390029456e-05,236,True,D_plus_volume_volatility,future_1w_excess_return,0.30237177878178767,1
0.003039912073781742,3.784329451897281,0.00019584988302745465,235,True,D_plus_volume_volatility,future_2w_excess_return,0.2919852475881923,2
0.0034287757454584283,2.69511788189184,0.007551305155946375,233,True,D_plus_volume_volatility,future_4w_excess_return,0.296773548458076,4
