stock_id,stock_name,success,date_start,date_end,n_days,missing_rate,usable_weeks,available_fields,unavailable_fields
2609,陽明海運,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2615,萬海,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2912,統一超,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2449,京元電子,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2344,華邦電,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2408,南亞科,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2337,旺宏,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2368,金像電,True,2021-01-04,2026-08-31,1365,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2059,川湖,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2360,致茂,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2395,研華,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
3661,世芯-KY,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
