event_definition,n_events_raw,n_events_after_nonoverlap_filter,n_unique_stocks,max_events_same_calendar_week,final_window_offset,CAR_mean_at_final_window,CAR_std,t_stat,p_value,bootstrap_ci_low,bootstrap_ci_high,n_events_used_in_test
attention_z2,695,377,50,20,8,0.14208343195266274,0.30872044294289513,8.461286492811865,8.188959129209165e-16,0.1099448446745562,0.17395187869822487,338
attention_ratio,1050,500,49,16,8,0.11480528634361235,0.29717519612265075,8.23146724862304,1.9893309584406304e-15,0.08796209251101322,0.1417697687224669,454
attention_top_decile,1100,556,50,26,8,0.1025522,0.2791478673370758,8.214774937372304,1.8387786823142447e-15,0.079693635,0.12738365999999995,500
