horizon,n_pairs,mean_diff_event_minus_match,mean_event_return,mean_match_return,t_stat,p_value,significant
future_1w_excess_return,688,0.017145348837209303,0.022544331395348838,0.005398982558139535,5.030723126637408,6.244894117333332e-07,True
future_2w_excess_return,683,0.0243484626647145,0.03532664714494876,0.010978184480234262,4.8969774152340495,1.2163374783805746e-06,True
future_4w_excess_return,669,0.03736860986547085,0.0587017937219731,0.02133318385650224,5.213494813434647,2.473800267127146e-07,True
