coefficient,t_stat,p_value,n_weeks,significant,horizon,term,avg_r2,n_weeks_skipped
0.0027416060395789306,3.315708309479589,0.0010588295267475178,236,True,future_1w_excess_return,attention_z,0.2562652700442408,1
0.005433354765744876,0.49536183786827287,0.6208076069600121,236,False,future_1w_excess_return,attention_z_x_past_4w_return,0.2562652700442408,1
0.0034102090468291946,0.5474212988719596,0.5846088365334814,236,False,future_1w_excess_return,attention_z_x_total_inst_net_buy_ratio_4w,0.2562652700442408,1
-0.0024316411621221794,-0.5083620781121295,0.6116763211165392,236,False,future_1w_excess_return,total_inst_net_buy_ratio_4w,0.2562652700442408,1
0.0025406723491418677,2.400299616252901,0.01716396796784303,235,True,future_2w_excess_return,attention_z,0.24636479675493558,2
0.0013142298469454336,0.09135943539486133,0.9272851520259076,235,False,future_2w_excess_return,attention_z_x_past_4w_return,0.24636479675493558,2
0.008135456144644051,0.9238414567593374,0.35652052320387684,235,False,future_2w_excess_return,attention_z_x_total_inst_net_buy_ratio_4w,0.24636479675493558,2
-0.008257842348358484,-1.1832818016778082,0.23789823191950066,235,False,future_2w_excess_return,total_inst_net_buy_ratio_4w,0.24636479675493558,2
0.004015677789233026,2.5649583641608866,0.010949338023367838,233,True,future_4w_excess_return,attention_z,0.24412872777694056,4
0.012280778351592449,0.6081257216539548,0.5436989613789254,233,False,future_4w_excess_return,attention_z_x_past_4w_return,0.24412872777694056,4
0.011366434353857984,0.9395512529600598,0.3484249610913872,233,False,future_4w_excess_return,attention_z_x_total_inst_net_buy_ratio_4w,0.24412872777694056,4
-0.01615810386778763,-1.554617984447033,0.121400145841015,233,False,future_4w_excess_return,total_inst_net_buy_ratio_4w,0.24412872777694056,4
