coefficient,t_stat,p_value,n_weeks,significant,model,horizon,avg_r2,n_weeks_skipped
0.00043716919034840403,0.7115579214703994,0.47744131240117516,237,False,A_attention_momentum,future_1w_excess_return,0.17749788507528008,0
0.0004482684603552591,0.5130274772676612,0.6084119862783708,237,False,A_attention_momentum,future_2w_excess_return,0.16886697451825347,0
0.0014621804114498063,1.1877340675391335,0.23613219911766792,237,False,A_attention_momentum,future_4w_excess_return,0.17493001032689393,0
0.00045275879471127513,0.7287465046510424,0.4668792750755313,237,False,B_plus_total_inst_flow,future_1w_excess_return,0.199906422659563,0
0.0004234267877244012,0.4795081181245802,0.6320212474228599,237,False,B_plus_total_inst_flow,future_2w_excess_return,0.18813847399557834,0
0.001565063157663956,1.27227014996073,0.20452927798545706,237,False,B_plus_total_inst_flow,future_4w_excess_return,0.1948472623816583,0
0.0003415385463598109,0.5322894950647321,0.5950262739167871,237,False,C_plus_foreign_trust_dealer,future_1w_excess_return,0.24496083903049845,0
0.0003918873877687245,0.42656147908152464,0.6700875999671594,237,False,C_plus_foreign_trust_dealer,future_2w_excess_return,0.2313157580516679,0
0.0014954367054831996,1.215651238873508,0.22533244580359968,237,False,C_plus_foreign_trust_dealer,future_4w_excess_return,0.233606402868563,0
9.327959302597683e-05,0.14630171879040746,0.8838081004589671,237,False,D_plus_volume_volatility,future_1w_excess_return,0.302592649453901,0
-0.00029473904988441726,-0.3386579898284548,0.7351685020161867,237,False,D_plus_volume_volatility,future_2w_excess_return,0.28363520130641834,0
0.0002400103309253276,0.19208641785447667,0.8478396912816129,237,False,D_plus_volume_volatility,future_4w_excess_return,0.2884514980783269,0
