coefficient,t_stat,p_value,n_weeks,significant,horizon,term,avg_r2,n_weeks_skipped
0.0007315698249825632,0.9613916279085148,0.3373392661109049,237,False,future_1w_excess_return,attention_z,0.2444994920268358,0
0.0065010087999982456,0.5556034252538629,0.5790082950240079,237,False,future_1w_excess_return,attention_z_x_past_4w_return,0.2444994920268358,0
-0.0026923239612578085,-0.46803560256741894,0.6401910718947827,237,False,future_1w_excess_return,attention_z_x_total_inst_net_buy_ratio_4w,0.2444994920268358,0
-0.0056035429622672255,-1.0788359173173954,0.28176227184453584,237,False,future_1w_excess_return,total_inst_net_buy_ratio_4w,0.2444994920268358,0
0.0008653576316889825,0.7157492191107508,0.47485377875064083,237,False,future_2w_excess_return,attention_z,0.23721064880943074,0
0.021644607837732432,1.210652823287473,0.22723953573835565,237,False,future_2w_excess_return,attention_z_x_past_4w_return,0.23721064880943074,0
0.0001974919395793526,0.02302705916572144,0.9816481462192765,237,False,future_2w_excess_return,attention_z_x_total_inst_net_buy_ratio_4w,0.23721064880943074,0
-0.00925264158489284,-1.2243445492283358,0.22204306050915856,237,False,future_2w_excess_return,total_inst_net_buy_ratio_4w,0.23721064880943074,0
0.0021689105881395397,1.260832900681898,0.20861410070756414,237,False,future_4w_excess_return,attention_z,0.2410247407246139,0
0.01748573348514503,0.7309377424929954,0.4655422408002474,237,False,future_4w_excess_return,attention_z_x_past_4w_return,0.2410247407246139,0
2.5382142308754748e-05,0.0019439720390934266,0.9984505779061399,237,False,future_4w_excess_return,attention_z_x_total_inst_net_buy_ratio_4w,0.2410247407246139,0
-0.01765494996673289,-1.5646732620862867,0.11899943031855109,237,False,future_4w_excess_return,total_inst_net_buy_ratio_4w,0.2410247407246139,0
