window_end_week,coef,t_stat
2023-01-01,-0.0010969461223933876,-0.45203161569424444
2023-01-08,-0.0011734509401853407,-0.4847751305781506
2023-01-15,-0.000975041435484019,-0.40306438386583887
2023-01-22,-0.000450143831968926,-0.18688301808802657
2023-01-29,-0.00018669191885977934,-0.07739754981694245
2023-02-05,0.00015887475008124596,0.06592481160956105
2023-02-12,0.00020700127174471517,0.08590265535420369
2023-02-19,0.00011115394343358723,0.04615779543278233
2023-02-26,-0.000634618134106948,-0.27121443773348314
2023-03-05,-0.0014679505187925855,-0.6692365411681195
2023-03-12,-0.001035068917207196,-0.44453583218688625
2023-03-19,-0.0011512583396231801,-0.49643955150260394
2023-03-26,-0.0014843962220042937,-0.649922595765547
2023-04-02,-0.0009927969422845262,-0.42776767548745803
2023-04-09,-0.0003477227711178863,-0.14820373371956508
2023-04-16,-7.44471229398169e-05,-0.03168799597896341
2023-04-23,0.0007563307400787205,0.3175284404637926
2023-04-30,0.001777251398993548,0.7363979879360747
2023-05-07,0.0029812850171556434,1.143973436858788
2023-05-14,0.003813612408443595,1.4458262916148972
2023-05-21,0.00463015922456697,1.6398970844840919
2023-05-28,0.004673884865941997,1.6521203913761846
2023-06-04,0.005080041284264443,1.7562645557262848
2023-06-11,0.0065388833200709364,2.1866516625008185
2023-06-18,0.008688820636386698,2.5838346000243977
2023-06-25,0.010220503474047996,2.9991160512418245
2023-07-02,0.011512668982597583,3.232535574704523
2023-07-09,0.01280572182455362,3.537413367928667
2023-07-16,0.01246778193779671,3.4233222018519136
2023-07-23,0.011917362630290123,3.245613633407768
2023-07-30,0.011564565476385208,3.1454311623553624
2023-08-06,0.011038225324651917,2.9980448457664632
2023-08-13,0.01114250089723606,3.0347906762499037
2023-08-20,0.010536861073699196,2.785574982817077
2023-08-27,0.010462410567489968,2.76040374772398
2023-09-03,0.010293663309498022,2.713976992787743
2023-09-10,0.010251574354089774,2.701485211821593
2023-09-17,0.010649751205642573,2.835810852759524
2023-09-24,0.011811775381147964,3.323885769780947
2023-10-01,0.01212071186777839,3.4485882772391077
2023-10-08,0.0122856926889847,3.5101336945377546
2023-10-15,0.01203420610212806,3.427667509940074
2023-10-22,0.011539433877956489,3.272346021503482
2023-10-29,0.01155965593057831,3.2801251858119356
2023-11-05,0.011192809540779173,3.170686012430666
2023-11-12,0.011028734616407361,3.1098775002275447
2023-11-19,0.011171492061601805,3.161943692007378
2023-11-26,0.011017249640601096,3.1041368091440757
2023-12-03,0.011674009501060472,3.404645076671862
2023-12-10,0.010969681815155084,3.1103073142743307
2023-12-17,0.011094832660975412,3.1471996421095074
2023-12-24,0.011276238466267019,3.203772695828267
2023-12-31,0.011506059727722638,3.276770699921966
2024-01-07,0.010957442139061743,3.070639097132399
2024-01-14,0.011495113693650928,3.2057411818602857
2024-01-21,0.011257868440916355,3.131607742516273
2024-01-28,0.011345208074670694,3.156280296787009
2024-02-04,0.011026794712623977,3.0511268636219055
2024-02-11,0.01072898622183288,2.945444283865726
2024-02-18,0.01064212701134386,2.9166464178878813
2024-02-25,0.010720387350132567,2.9439450235858087
2024-03-03,0.010658769647778905,2.923113025010312
2024-03-10,0.009589154610435805,2.66368176860655
2024-03-17,0.009454475718122317,2.6222374672578916
2024-03-24,0.009442313822671303,2.618509508469035
2024-03-31,0.008667131377009253,2.3790597201967443
2024-04-07,0.007649188288398934,2.057252257438052
2024-04-14,0.006652561647435292,1.7296100765809024
2024-04-21,0.005695349911516874,1.4725585726917745
2024-04-28,0.004988456569861594,1.299289785189202
2024-05-05,0.00359299757709821,0.960370264406991
2024-05-12,0.0033037641834802694,0.8899918276842971
2024-05-19,0.0025824619334105076,0.7224558731152332
2024-05-26,0.002259392041602058,0.6363016436233292
2024-06-02,0.001647848958712045,0.47334796629408465
2024-06-09,0.0006013744356738564,0.1807137924351693
2024-06-16,-0.0011546605415568554,-0.41099176833054407
2024-06-23,-0.002355574386559547,-0.9086296632286359
2024-06-30,-0.003966180999394267,-1.7696794060128112
2024-07-07,-0.004923973189811821,-2.539273995279838
2024-07-14,-0.004770144966763077,-2.4586069857397934
2024-07-21,-0.004289656977543814,-2.184870863203598
2024-07-28,-0.004676930011513775,-2.356452158957125
2024-08-04,-0.004565855581105888,-2.2963302737520723
2024-08-11,-0.004610263024380329,-2.3180809109304095
2024-08-18,-0.003659209629815722,-1.942435466301174
2024-08-25,-0.003544206519010997,-1.8866150070224486
2024-09-01,-0.0035931043388574674,-1.9153725226901466
2024-09-08,-0.0032961960255843002,-1.7250356049071813
2024-09-15,-0.0030614883457649555,-1.5803196255771894
2024-09-22,-0.003159569134440941,-1.6390556671079177
2024-09-29,-0.0030752426245439736,-1.5934655200988732
2024-10-06,-0.00333186356546051,-1.719869437151631
2024-10-13,-0.003102925282123114,-1.5882888081549649
2024-10-20,-0.0030045294068177025,-1.5387537116654453
2024-10-27,-0.0027221845800794358,-1.3886438869783164
2024-11-03,-0.0027059355094980683,-1.3801189567229557
2024-11-10,-0.002117899149778153,-1.0592586868312481
2024-11-17,-0.0020861512707710406,-1.0432198016615577
