week,coef,n_obs,r2,model,horizon
2023-02-26,-0.006675222294233509,48,0.01625628633850329,Model1_attention_only,future_1w_excess_return
2023-03-05,-0.0017056465761263794,48,0.004439602826907474,Model1_attention_only,future_1w_excess_return
2023-03-12,0.021487137491987208,48,0.07954307070362077,Model1_attention_only,future_1w_excess_return
2023-03-19,-0.0037512004751376693,48,0.0036510300004669594,Model1_attention_only,future_1w_excess_return
2023-03-26,0.0014046517462616725,48,0.002849676055794337,Model1_attention_only,future_1w_excess_return
2023-04-02,-0.001944060421476213,48,0.0034797303720749406,Model1_attention_only,future_1w_excess_return
2023-04-09,-0.0030610611736675785,48,0.019170601533856857,Model1_attention_only,future_1w_excess_return
2023-04-16,-0.0013330748837375448,48,0.0020485530608973512,Model1_attention_only,future_1w_excess_return
2023-04-23,0.012454039584321694,48,0.15938486931002804,Model1_attention_only,future_1w_excess_return
2023-04-30,0.005857160815156672,48,0.029497146417441833,Model1_attention_only,future_1w_excess_return
2023-05-07,-0.0026354713033946912,48,0.005187647991083066,Model1_attention_only,future_1w_excess_return
2023-05-14,-0.0009440864052615976,48,0.00032764726411183,Model1_attention_only,future_1w_excess_return
2023-05-21,0.019273564033609376,48,0.07230011958338234,Model1_attention_only,future_1w_excess_return
2023-05-28,0.011119792195438218,48,0.162858685114745,Model1_attention_only,future_1w_excess_return
2023-06-04,0.004189416714440629,49,0.023574873836347043,Model1_attention_only,future_1w_excess_return
2023-06-11,0.020318019798753664,49,0.13396639678131084,Model1_attention_only,future_1w_excess_return
2023-06-18,-0.0029236514161212115,49,0.0024819131869052713,Model1_attention_only,future_1w_excess_return
2023-06-25,0.0039501747989101835,49,0.007666366501668076,Model1_attention_only,future_1w_excess_return
2023-07-02,0.0033734760079190537,49,0.014985562700486899,Model1_attention_only,future_1w_excess_return
2023-07-09,0.04769963189566985,49,0.32738343883155985,Model1_attention_only,future_1w_excess_return
2023-07-16,0.014319961287577248,48,0.043615293725029036,Model1_attention_only,future_1w_excess_return
2023-07-23,-0.01898159001649795,48,0.22756319290846239,Model1_attention_only,future_1w_excess_return
2023-07-30,-0.000678014529782312,48,0.0007572520988173848,Model1_attention_only,future_1w_excess_return
2023-08-06,-0.010364060311477094,48,0.1190121900088017,Model1_attention_only,future_1w_excess_return
2023-08-13,0.022579947284148773,48,0.197952016059469,Model1_attention_only,future_1w_excess_return
2023-08-20,-0.013658179303614003,48,0.11311484326692867,Model1_attention_only,future_1w_excess_return
2023-08-27,0.0007339938083582782,48,0.0012593599131884847,Model1_attention_only,future_1w_excess_return
2023-09-03,-0.00997882479343572,48,0.17549040211940936,Model1_attention_only,future_1w_excess_return
2023-09-10,-0.01550732669669581,48,0.19009032883726973,Model1_attention_only,future_1w_excess_return
2023-09-17,0.006608643373615848,48,0.0444395916829603,Model1_attention_only,future_1w_excess_return
2023-09-24,0.0034285726651960267,48,0.007600652784406248,Model1_attention_only,future_1w_excess_return
2023-10-01,0.0011061940892173698,48,0.0006711240704030397,Model1_attention_only,future_1w_excess_return
2023-10-08,-0.020340137308715336,48,0.08981214943882043,Model1_attention_only,future_1w_excess_return
2023-10-15,-0.00743743059707387,47,0.05019484835827204,Model1_attention_only,future_1w_excess_return
2023-10-22,-0.0008332344290587889,47,0.000648410431969948,Model1_attention_only,future_1w_excess_return
2023-10-29,0.008201831743571879,47,0.051957765750483054,Model1_attention_only,future_1w_excess_return
2023-11-05,0.01661754945128326,47,0.12760746887669616,Model1_attention_only,future_1w_excess_return
2023-11-12,0.005720426780239114,47,0.02213499950286224,Model1_attention_only,future_1w_excess_return
2023-11-19,-0.0052184606129240425,47,0.01712509585646982,Model1_attention_only,future_1w_excess_return
2023-11-26,-0.0029591998505491854,47,0.01302213459005086,Model1_attention_only,future_1w_excess_return
2023-12-03,0.0024767207036395077,47,0.011771652981539038,Model1_attention_only,future_1w_excess_return
2023-12-10,-0.0127394352710721,47,0.0705660265502227,Model1_attention_only,future_1w_excess_return
2023-12-17,0.00023928392524784087,48,7.456858725074511e-05,Model1_attention_only,future_1w_excess_return
2023-12-24,-0.016673598698993847,48,0.4099747468804148,Model1_attention_only,future_1w_excess_return
2023-12-31,-0.0030879178834936267,48,0.009710078952308687,Model1_attention_only,future_1w_excess_return
2024-01-07,-0.009514938068733384,48,0.04688633548721466,Model1_attention_only,future_1w_excess_return
2024-01-14,0.031010799523491686,48,0.114208873323282,Model1_attention_only,future_1w_excess_return
2024-01-21,-0.006894963087770939,48,0.05810547287553003,Model1_attention_only,future_1w_excess_return
2024-01-28,-0.0012798796383071463,49,0.0009536436446709873,Model1_attention_only,future_1w_excess_return
2024-02-04,-0.00318450050420771,49,0.006023717850102472,Model1_attention_only,future_1w_excess_return
2024-02-11,-0.005631799128770682,49,0.0065001996360340986,Model1_attention_only,future_1w_excess_return
2024-02-18,0.0018150129361152476,49,0.002080831691695706,Model1_attention_only,future_1w_excess_return
2024-02-25,0.0024184916166166102,49,0.004625634292853009,Model1_attention_only,future_1w_excess_return
2024-03-03,0.008140523785036486,49,0.04073714635615544,Model1_attention_only,future_1w_excess_return
2024-03-10,-0.012999669754636754,49,0.058816643553952774,Model1_attention_only,future_1w_excess_return
2024-03-17,-0.0016205854274176604,49,0.0018806922227203593,Model1_attention_only,future_1w_excess_return
2024-03-24,0.002939284341432422,49,0.005012856435221313,Model1_attention_only,future_1w_excess_return
2024-03-31,-0.001637968781956087,49,0.0029945482372776278,Model1_attention_only,future_1w_excess_return
2024-04-07,-0.020409551845370726,49,0.15537661736733976,Model1_attention_only,future_1w_excess_return
2024-04-14,0.0008416466806967236,49,0.0002607299406841568,Model1_attention_only,future_1w_excess_return
2024-04-21,-0.007401629396862617,49,0.04533208004168787,Model1_attention_only,future_1w_excess_return
2024-04-28,0.0007328842705796076,49,0.0004624969871364071,Model1_attention_only,future_1w_excess_return
2024-05-05,-0.016723678705411592,49,0.028584283737158267,Model1_attention_only,future_1w_excess_return
2024-05-12,0.016444633175719175,49,0.11328954296760141,Model1_attention_only,future_1w_excess_return
2024-05-19,0.014429789547829123,49,0.07430421069414928,Model1_attention_only,future_1w_excess_return
2024-05-26,0.0020362020796354766,49,0.008845887470202651,Model1_attention_only,future_1w_excess_return
2024-06-02,0.0006080055366637212,48,0.0002528179521122942,Model1_attention_only,future_1w_excess_return
2024-06-09,0.0023269136885292713,48,0.0032070374716036687,Model1_attention_only,future_1w_excess_return
2024-06-16,0.00036750211258807105,48,0.00014396174034525533,Model1_attention_only,future_1w_excess_return
2024-06-23,-0.0016558235919232366,49,0.008407950401413733,Model1_attention_only,future_1w_excess_return
2024-06-30,-0.005517583739573782,49,0.018156808388327672,Model1_attention_only,future_1w_excess_return
2024-07-07,0.0044278030053327005,49,0.01502763323538625,Model1_attention_only,future_1w_excess_return
2024-07-14,-0.00393221255373653,49,0.006355506851246084,Model1_attention_only,future_1w_excess_return
2024-07-21,0.005591940285096552,49,0.024291991420627657,Model1_attention_only,future_1w_excess_return
2024-07-28,-0.012417222608013277,49,0.06721211853410969,Model1_attention_only,future_1w_excess_return
2024-08-04,-0.0011003875278778675,49,0.000328313059813512,Model1_attention_only,future_1w_excess_return
2024-08-11,-0.002839583478863201,49,0.004334337728602589,Model1_attention_only,future_1w_excess_return
2024-08-18,0.0005346473855127594,50,0.000993999980493654,Model1_attention_only,future_1w_excess_return
2024-08-25,-0.0017892400656995542,50,0.00478999372236244,Model1_attention_only,future_1w_excess_return
2024-09-01,-0.0021369067409510245,50,0.0027304953056125347,Model1_attention_only,future_1w_excess_return
2024-09-08,-0.0021168644559058053,50,0.003487044353918334,Model1_attention_only,future_1w_excess_return
2024-09-15,0.0055624300628051935,50,0.028492033339735157,Model1_attention_only,future_1w_excess_return
2024-09-22,0.008270793827157124,49,0.02130245824050203,Model1_attention_only,future_1w_excess_return
2024-09-29,0.004041632183298936,49,0.010280879716472069,Model1_attention_only,future_1w_excess_return
2024-10-06,0.00023890184481224498,49,1.937128437801139e-05,Model1_attention_only,future_1w_excess_return
2024-10-13,0.0004599073971386251,49,0.00011187405236212644,Model1_attention_only,future_1w_excess_return
2024-10-20,-0.0026471030168168258,49,0.004516637885572217,Model1_attention_only,future_1w_excess_return
2024-10-27,0.014633189110835602,49,0.09869119287880912,Model1_attention_only,future_1w_excess_return
2024-11-03,-0.003391916557317427,49,0.005117917818582285,Model1_attention_only,future_1w_excess_return
2024-11-10,-0.00893545488333398,49,0.03498357051603118,Model1_attention_only,future_1w_excess_return
2024-11-17,0.006259401624054475,49,0.019247642495159645,Model1_attention_only,future_1w_excess_return
2024-11-24,-0.0006875747135710238,49,0.00014275265421792582,Model1_attention_only,future_1w_excess_return
2024-12-01,-0.007529550493528353,49,0.012354902806222867,Model1_attention_only,future_1w_excess_return
2024-12-08,-0.010988591066213279,49,0.012988811814208967,Model1_attention_only,future_1w_excess_return
2024-12-15,2.6185663440392364e-06,49,6.0582420191579445e-09,Model1_attention_only,future_1w_excess_return
2024-12-22,-0.01205481493477049,49,0.14723198274410543,Model1_attention_only,future_1w_excess_return
