stock_id,stock_name,industry,status,trends_present,price_present,benchmark_present,panel_rows,future_4w_excess_rows,minimum_panel_rows,minimum_future_4w_excess_rows,reason
3008,大立光,光學元件,blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2379,瑞昱,半導體(IC設計),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
3034,聯詠,半導體(IC設計),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2610,中華航空,航運(航空),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2618,長榮航空,航運(航空),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2603,長榮,航運(海運),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2609,陽明海運,航運(海運),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2615,萬海,航運(海運),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2912,統一超,零售(便利商店),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2449,京元電子,半導體(封測),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2344,華邦電,半導體(記憶體),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2408,南亞科,半導體(記憶體),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2337,旺宏,半導體(記憶體),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2368,金像電,電子零組件(PCB),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2059,川湖,機械(滑軌),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2360,致茂,電子設備(測試儀器),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
2395,研華,電腦及周邊(工業電腦),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
3661,世芯-KY,半導體(IC設計服務),blocked_missing_benchmark,False,False,False,0,0,26,26,Missing real raw benchmark data: C:\Users\user\Desktop\taiwan-attention-momentum-signal\data\raw\price_TAIEX.csv
